"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987-04","Canada","2016A000011124","Tobacco manufacturing [3122]","Percent","239","units","0","v4331092","1.12","70.3","","","","1"
"1987-04","Canada","2016A000011124","Textiles","Percent","239","units","0","v4331093","1.13","87.3","","","","1"
"1987-04","Canada","2016A000011124","Textile mills [313]","Percent","239","units","0","v4331094","1.14","","..","","","1"
"1987-04","Canada","2016A000011124","Textile product mills [314]","Percent","239","units","0","v4331095","1.15","","..","","","1"
"1987-04","Canada","2016A000011124","Clothing manufacturing [315]","Percent","239","units","0","v4331096","1.16","89.2","","","","1"
"1987-04","Canada","2016A000011124","Leather and allied product manufacturing [316]","Percent","239","units","0","v4331097","1.17","78.6","","","","1"
"1987-04","Canada","2016A000011124","Wood product manufacturing [321]","Percent","239","units","0","v4331098","1.18","82.0","","","","1"
"1987-04","Canada","2016A000011124","Paper manufacturing [322]","Percent","239","units","0","v4331099","1.19","94.2","","","","1"
"1987-04","Canada","2016A000011124","Printing and related support activities [323]","Percent","239","units","0","v4331100","1.20","75.9","","","","1"
"1987-04","Canada","2016A000011124","Petroleum and coal products manufacturing [324]","Percent","239","units","0","v4331101","1.21","84.5","","","","1"
"1987-04","Canada","2016A000011124","Chemical manufacturing [325]","Percent","239","units","0","v4331102","1.22","88.1","","","","1"
"1987-04","Canada","2016A000011124","Plastics and rubber products manufacturing [326]","Percent","239","units","0","v4331103","1.23","89.4","","","","1"
"1987-04","Canada","2016A000011124","Plastic product manufacturing [3261]","Percent","239","units","0","v4331104","1.24","90.2","","","","1"
"1987-04","Canada","2016A000011124","Rubber product manufacturing [3262]","Percent","239","units","0","v4331105","1.25","86.8","","","","1"
"1987-04","Canada","2016A000011124","Non-metallic mineral product manufacturing [327]","Percent","239","units","0","v4331106","1.26","84.2","","","","1"
"1987-04","Canada","2016A000011124","Primary metal manufacturing [331]","Percent","239","units","0","v4331107","1.27","90.6","","","","1"
"1987-04","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Percent","239","units","0","v4331108","1.28","78.1","","","","1"
"1987-04","Canada","2016A000011124","Machinery manufacturing [333]","Percent","239","units","0","v4331109","1.29","68.7","","","","1"
"1987-04","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Percent","239","units","0","v4331110","1.30","81.4","","","","1"
"1987-04","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Percent","239","units","0","v4331111","1.31","76.6","","","","1"
"1987-04","Canada","2016A000011124","Transportation equipment manufacturing [336]","Percent","239","units","0","v4331112","1.32","77.4","","","","1"
"1987-04","Canada","2016A000011124","Furniture and related product manufacturing [337]","Percent","239","units","0","v4331113","1.33","81.4","","","","1"
"1987-04","Canada","2016A000011124","Miscellaneous manufacturing [339]","Percent","239","units","0","v4331114","1.34","74.8","","","","1"
"1987-07","Canada","2016A000011124","Total industrial","Percent","239","units","0","v4331081","1.1","84.8","","","","1"
"1987-07","Canada","2016A000011124","Forestry and logging [113]","Percent","239","units","0","v4331082","1.2","91.6","","","","1"
"1987-07","Canada","2016A000011124","Mining and oil and gas extraction [21]","Percent","239","units","0","v4331083","1.3","81.0","","","","1"
"1987-07","Canada","2016A000011124","Oil and gas extraction [211]","Percent","239","units","0","v4331084","1.4","83.8","","","","1"
"1987-07","Canada","2016A000011124","Mining","Percent","239","units","0","v4331085","1.5","76.9","","","","1"
"1987-07","Canada","2016A000011124","Electric power generation, transmission and distribution [2211]","Percent","239","units","0","v4331086","1.6","86.1","","","","1"
"1987-07","Canada","2016A000011124","Construction [23]","Percent","239","units","0","v4331087","1.7","90.4","","","","1"
"1987-07","Canada","2016A000011124","Manufacturing [31-33]","Percent","239","units","0","v4331088","1.8","82.9","","","","1"
"1987-07","Canada","2016A000011124","Food manufacturing [311]","Percent","239","units","0","v4331089","1.9","80.4","","","","1"
"1987-07","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Percent","239","units","0","v4331090","1.10","72.3","","","","1"
"1987-07","Canada","2016A000011124","Beverage manufacturing [3121]","Percent","239","units","0","v4331091","1.11","70.0","","","","1"
"1987-07","Canada","2016A000011124","Tobacco manufacturing [3122]","Percent","239","units","0","v4331092","1.12","73.6","","","","1"
"1987-07","Canada","2016A000011124","Textiles","Percent","239","units","0","v4331093","1.13","87.2","","","","1"
"1987-07","Canada","2016A000011124","Textile mills [313]","Percent","239","units","0","v4331094","1.14","","..","","","1"
"1987-07","Canada","2016A000011124","Textile product mills [314]","Percent","239","units","0","v4331095","1.15","","..","","","1"
"1987-07","Canada","2016A000011124","Clothing manufacturing [315]","Percent","239","units","0","v4331096","1.16","89.2","","","","1"
"1987-07","Canada","2016A000011124","Leather and allied product manufacturing [316]","Percent","239","units","0","v4331097","1.17","80.7","","","","1"
"1987-07","Canada","2016A000011124","Wood product manufacturing [321]","Percent","239","units","0","v4331098","1.18","88.8","","","","1"
"1987-07","Canada","2016A000011124","Paper manufacturing [322]","Percent","239","units","0","v4331099","1.19","96.8","","","","1"
"1987-07","Canada","2016A000011124","Printing and related support activities [323]","Percent","239","units","0","v4331100","1.20","79.5","","","","1"
"1987-07","Canada","2016A000011124","Petroleum and coal products manufacturing [324]","Percent","239","units","0","v4331101","1.21","88.1","","","","1"
"1987-07","Canada","2016A000011124","Chemical manufacturing [325]","Percent","239","units","0","v4331102","1.22","89.6","","","","1"
"1987-07","Canada","2016A000011124","Plastics and rubber products manufacturing [326]","Percent","239","units","0","v4331103","1.23","89.5","","","","1"
"1987-07","Canada","2016A000011124","Plastic product manufacturing [3261]","Percent","239","units","0","v4331104","1.24","90.9","","","","1"
"1987-07","Canada","2016A000011124","Rubber product manufacturing [3262]","Percent","239","units","0","v4331105","1.25","84.8","","","","1"
"1987-07","Canada","2016A000011124","Non-metallic mineral product manufacturing [327]","Percent","239","units","0","v4331106","1.26","84.0","","","","1"
"1987-07","Canada","2016A000011124","Primary metal manufacturing [331]","Percent","239","units","0","v4331107","1.27","93.2","","","","1"
"1987-07","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Percent","239","units","0","v4331108","1.28","78.9","","","","1"
"1987-07","Canada","2016A000011124","Machinery manufacturing [333]","Percent","239","units","0","v4331109","1.29","71.0","","","","1"
"1987-07","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Percent","239","units","0","v4331110","1.30","82.1","","","","1"
"1987-07","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Percent","239","units","0","v4331111","1.31","81.5","","","","1"
"1987-07","Canada","2016A000011124","Transportation equipment manufacturing [336]","Percent","239","units","0","v4331112","1.32","78.2","","","","1"
"1987-07","Canada","2016A000011124","Furniture and related product manufacturing [337]","Percent","239","units","0","v4331113","1.33","82.7","","","","1"
"1987-07","Canada","2016A000011124","Miscellaneous manufacturing [339]","Percent","239","units","0","v4331114","1.34","80.0","","","","1"
"1987-10","Canada","2016A000011124","Total industrial","Percent","239","units","0","v4331081","1.1","86.2","","","","1"
"1987-10","Canada","2016A000011124","Forestry and logging [113]","Percent","239","units","0","v4331082","1.2","108.4","","","","1"
"1987-10","Canada","2016A000011124","Mining and oil and gas extraction [21]","Percent","239","units","0","v4331083","1.3","82.6","","","","1"
"1987-10","Canada","2016A000011124","Oil and gas extraction [211]","Percent","239","units","0","v4331084","1.4","85.1","","","","1"
"1987-10","Canada","2016A000011124","Mining","Percent","239","units","0","v4331085","1.5","79.0","","","","1"
"1987-10","Canada","2016A000011124","Electric power generation, transmission and distribution [2211]","Percent","239","units","0","v4331086","1.6","85.4","","","","1"
"1987-10","Canada","2016A000011124","Construction [23]","Percent","239","units","0","v4331087","1.7","91.0","","","","1"
"1987-10","Canada","2016A000011124","Manufacturing [31-33]","Percent","239","units","0","v4331088","1.8","84.4","","","","1"
"1987-10","Canada","2016A000011124","Food manufacturing [311]","Percent","239","units","0","v4331089","1.9","80.8","","","","1"
"1987-10","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Percent","239","units","0","v4331090","1.10","71.7","","","","1"
"1987-10","Canada","2016A000011124","Beverage manufacturing [3121]","Percent","239","units","0","v4331091","1.11","69.9","","","","1"
"1987-10","Canada","2016A000011124","Tobacco manufacturing [3122]","Percent","239","units","0","v4331092","1.12","72.8","","","","1"
"1987-10","Canada","2016A000011124","Textiles","Percent","239","units","0","v4331093","1.13","88.4","","","","1"
"1987-10","Canada","2016A000011124","Textile mills [313]","Percent","239","units","0","v4331094","1.14","","..","","","1"
"1987-10","Canada","2016A000011124","Textile product mills [314]","Percent","239","units","0","v4331095","1.15","","..","","","1"
"1987-10","Canada","2016A000011124","Clothing manufacturing [315]","Percent","239","units","0","v4331096","1.16","85.9","","","","1"
"1987-10","Canada","2016A000011124","Leather and allied product manufacturing [316]","Percent","239","units","0","v4331097","1.17","83.1","","","","1"
"1987-10","Canada","2016A000011124","Wood product manufacturing [321]","Percent","239","units","0","v4331098","1.18","90.1","","","","1"
"1987-10","Canada","2016A000011124","Paper manufacturing [322]","Percent","239","units","0","v4331099","1.19","97.8","","","","1"
"1987-10","Canada","2016A000011124","Printing and related support activities [323]","Percent","239","units","0","v4331100","1.20","83.2","","","","1"
"1987-10","Canada","2016A000011124","Petroleum and coal products manufacturing [324]","Percent","239","units","0","v4331101","1.21","90.2","","","","1"
"1987-10","Canada","2016A000011124","Chemical manufacturing [325]","Percent","239","units","0","v4331102","1.22","90.0","","","","1"
"1987-10","Canada","2016A000011124","Plastics and rubber products manufacturing [326]","Percent","239","units","0","v4331103","1.23","91.5","","","","1"
"1987-10","Canada","2016A000011124","Plastic product manufacturing [3261]","Percent","239","units","0","v4331104","1.24","93.0","","","","1"
"1987-10","Canada","2016A000011124","Rubber product manufacturing [3262]","Percent","239","units","0","v4331105","1.25","86.2","","","","1"
"1987-10","Canada","2016A000011124","Non-metallic mineral product manufacturing [327]","Percent","239","units","0","v4331106","1.26","86.8","","","","1"
"1987-10","Canada","2016A000011124","Primary metal manufacturing [331]","Percent","239","units","0","v4331107","1.27","97.0","","","","1"
"1987-10","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Percent","239","units","0","v4331108","1.28","81.0","","","","1"
"1987-10","Canada","2016A000011124","Machinery manufacturing [333]","Percent","239","units","0","v4331109","1.29","74.8","","","","1"
"1987-10","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Percent","239","units","0","v4331110","1.30","82.6","","","","1"
"1987-10","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Percent","239","units","0","v4331111","1.31","85.2","","","","1"
"1987-10","Canada","2016A000011124","Transportation equipment manufacturing [336]","Percent","239","units","0","v4331112","1.32","80.1","","","","1"
"1987-10","Canada","2016A000011124","Furniture and related product manufacturing [337]","Percent","239","units","0","v4331113","1.33","84.1","","","","1"
"1987-10","Canada","2016A000011124","Miscellaneous manufacturing [339]","Percent","239","units","0","v4331114","1.34","83.7","","","","1"
"1988-01","Canada","2016A000011124","Total industrial","Percent","239","units","0","v4331081","1.1","86.2","","","","1"
"1988-01","Canada","2016A000011124","Forestry and logging [113]","Percent","239","units","0","v4331082","1.2","69.3","","","","1"
"1988-01","Canada","2016A000011124","Mining and oil and gas extraction [21]","Percent","239","units","0","v4331083","1.3","86.2","","","","1"
"1988-01","Canada","2016A000011124","Oil and gas extraction [211]","Percent","239","units","0","v4331084","1.4","90.0","","","","1"
"1988-01","Canada","2016A000011124","Mining","Percent","239","units","0","v4331085","1.5","80.7","","","","1"
"1988-01","Canada","2016A000011124","Electric power generation, transmission and distribution [2211]","Percent","239","units","0","v4331086","1.6","88.6","","","","1"
"1988-01","Canada","2016A000011124","Construction [23]","Percent","239","units","0","v4331087","1.7","89.9","","","","1"
"1988-01","Canada","2016A000011124","Manufacturing [31-33]","Percent","239","units","0","v4331088","1.8","84.6","","","","1"
"1988-01","Canada","2016A000011124","Food manufacturing [311]","Percent","239","units","0","v4331089","1.9","80.6","","","","1"
"1988-01","Canada","2016A000011124","Beverage and tobacco product manufacturing [312]","Percent","239","units","0","v4331090","1.10","76.9","","","","1"
"1988-01","Canada","2016A000011124","Beverage manufacturing [3121]","Percent","239","units","0","v4331091","1.11","74.3","","","","1"
"1988-01","Canada","2016A000011124","Tobacco manufacturing [3122]","Percent","239","units","0","v4331092","1.12","78.6","","","","1"
"1988-01","Canada","2016A000011124","Textiles","Percent","239","units","0","v4331093","1.13","86.2","","","","1"
"1988-01","Canada","2016A000011124","Textile mills [313]","Percent","239","units","0","v4331094","1.14","","..","","","1"
"1988-01","Canada","2016A000011124","Textile product mills [314]","Percent","239","units","0","v4331095","1.15","","..","","","1"
"1988-01","Canada","2016A000011124","Clothing manufacturing [315]","Percent","239","units","0","v4331096","1.16","85.4","","","","1"
"1988-01","Canada","2016A000011124","Leather and allied product manufacturing [316]","Percent","239","units","0","v4331097","1.17","78.9","","","","1"
"1988-01","Canada","2016A000011124","Wood product manufacturing [321]","Percent","239","units","0","v4331098","1.18","84.5","","","","1"
"1988-01","Canada","2016A000011124","Paper manufacturing [322]","Percent","239","units","0","v4331099","1.19","95.7","","","","1"
"1988-01","Canada","2016A000011124","Printing and related support activities [323]","Percent","239","units","0","v4331100","1.20","83.6","","","","1"
"1988-01","Canada","2016A000011124","Petroleum and coal products manufacturing [324]","Percent","239","units","0","v4331101","1.21","91.5","","","","1"
"1988-01","Canada","2016A000011124","Chemical manufacturing [325]","Percent","239","units","0","v4331102","1.22","90.1","","","","1"
"1988-01","Canada","2016A000011124","Plastics and rubber products manufacturing [326]","Percent","239","units","0","v4331103","1.23","91.0","","","","1"
"1988-01","Canada","2016A000011124","Plastic product manufacturing [3261]","Percent","239","units","0","v4331104","1.24","91.2","","","","1"
"1988-01","Canada","2016A000011124","Rubber product manufacturing [3262]","Percent","239","units","0","v4331105","1.25","90.4","","","","1"
"1988-01","Canada","2016A000011124","Non-metallic mineral product manufacturing [327]","Percent","239","units","0","v4331106","1.26","87.5","","","","1"
"1988-01","Canada","2016A000011124","Primary metal manufacturing [331]","Percent","239","units","0","v4331107","1.27","96.1","","","","1"
"1988-01","Canada","2016A000011124","Fabricated metal product manufacturing [332]","Percent","239","units","0","v4331108","1.28","81.8","","","","1"
"1988-01","Canada","2016A000011124","Machinery manufacturing [333]","Percent","239","units","0","v4331109","1.29","76.9","","","","1"
"1988-01","Canada","2016A000011124","Computer and electronic product manufacturing [334]","Percent","239","units","0","v4331110","1.30","82.6","","","","1"
"1988-01","Canada","2016A000011124","Electrical equipment, appliance and component manufacturing [335]","Percent","239","units","0","v4331111","1.31","83.6","","","","1"
"1988-01","Canada","2016A000011124","Transportation equipment manufacturing [336]","Percent","239","units","0","v4331112","1.32","80.3","","","","1"
"1988-01","Canada","2016A000011124","Furniture and related product manufacturing [337]","Percent","239","units","0","v4331113","1.33","81.6","","","","1"
