,Business characteristics,REF_DATE,VALUE,Quarter,Median by Quarter,Lower Bound,Upper Bound,ZScore,Median by Quarter,MAD by Quarter,Normality
223,Manufacturing [31-33],2004-04-01,83.3,2,81.1,76.29999999999998,85.9,0.9166666666666656,81.1,2.4000000000000057,Normal
224,Manufacturing [31-33],2004-07-01,84.0,3,80.8,75.9,85.69999999999999,1.3061224489795953,80.8,2.4499999999999957,Normal
225,Manufacturing [31-33],2004-10-01,83.7,4,80.6,74.79999999999998,86.4,1.06896551724138,80.6,2.9000000000000057,Normal
226,Manufacturing [31-33],2005-01-01,84.2,1,80.7,75.3,86.10000000000001,1.296296296296295,80.7,2.700000000000003,Normal
227,Manufacturing [31-33],2005-04-01,83.1,2,81.1,76.29999999999998,85.9,0.8333333333333314,81.1,2.4000000000000057,Normal
228,Manufacturing [31-33],2005-07-01,83.0,3,80.8,75.9,85.69999999999999,0.8979591836734722,80.8,2.4499999999999957,Normal
229,Manufacturing [31-33],2005-10-01,83.6,4,80.6,74.79999999999998,86.4,1.0344827586206875,80.6,2.9000000000000057,Normal
230,Manufacturing [31-33],2006-01-01,84.6,1,80.7,75.3,86.10000000000001,1.4444444444444398,80.7,2.700000000000003,Normal
231,Manufacturing [31-33],2006-04-01,82.5,2,81.1,76.29999999999998,85.9,0.5833333333333344,81.1,2.4000000000000057,Normal
232,Manufacturing [31-33],2006-07-01,81.5,3,80.8,75.9,85.69999999999999,0.2857142857142873,80.8,2.4499999999999957,Normal
233,Manufacturing [31-33],2006-10-01,81.1,4,80.6,74.79999999999998,86.4,0.1724137931034479,80.6,2.9000000000000057,Normal
234,Manufacturing [31-33],2007-01-01,83.4,1,80.7,75.3,86.10000000000001,1.0,80.7,2.700000000000003,Normal
235,Manufacturing [31-33],2007-04-01,84.0,2,81.1,76.29999999999998,85.9,1.2083333333333328,81.1,2.4000000000000057,Normal
236,Manufacturing [31-33],2007-07-01,82.7,3,80.8,75.9,85.69999999999999,0.7755102040816363,80.8,2.4499999999999957,Normal
237,Manufacturing [31-33],2007-10-01,80.6,4,80.6,74.79999999999998,86.4,0.0,80.6,2.9000000000000057,Normal
238,Manufacturing [31-33],2008-01-01,76.0,1,80.7,75.3,86.10000000000001,-1.74074074074074,80.7,2.700000000000003,Normal
239,Manufacturing [31-33],2008-04-01,76.3,2,81.1,76.29999999999998,85.9,-1.999999999999994,81.1,2.4000000000000057,Normal
240,Manufacturing [31-33],2008-07-01,76.5,3,80.8,75.9,85.69999999999999,-1.7551020408163285,80.8,2.4499999999999957,Normal
241,Manufacturing [31-33],2008-10-01,74.6,4,80.6,74.79999999999998,86.4,-2.0689655172413755,80.6,2.9000000000000057,Normal
242,Manufacturing [31-33],2009-01-01,70.5,1,80.7,75.3,86.10000000000001,-3.777777777777775,80.7,2.700000000000003,Normal
243,Manufacturing [31-33],2009-04-01,70.1,2,81.1,76.29999999999998,85.9,-4.583333333333322,81.1,2.4000000000000057,Normal
244,Manufacturing [31-33],2009-07-01,72.7,3,80.8,75.9,85.69999999999999,-3.306122448979595,80.8,2.4499999999999957,Normal
245,Manufacturing [31-33],2009-10-01,74.8,4,80.6,74.79999999999998,86.4,-1.9999999999999951,80.6,2.9000000000000057,Normal
246,Manufacturing [31-33],2010-01-01,76.7,1,80.7,75.3,86.10000000000001,-1.4814814814814798,80.7,2.700000000000003,Normal
247,Manufacturing [31-33],2010-04-01,77.9,2,81.1,76.29999999999998,85.9,-1.3333333333333257,81.1,2.4000000000000057,Normal
248,Manufacturing [31-33],2010-07-01,78.1,3,80.8,75.9,85.69999999999999,-1.1020408163265336,80.8,2.4499999999999957,Normal
249,Manufacturing [31-33],2010-10-01,77.1,4,80.6,74.79999999999998,86.4,-1.2068965517241357,80.6,2.9000000000000057,Normal
250,Manufacturing [31-33],2011-01-01,78.4,1,80.7,75.3,86.10000000000001,-0.8518518518518499,80.7,2.700000000000003,Normal
251,Manufacturing [31-33],2011-04-01,78.3,2,81.1,76.29999999999998,85.9,-1.1666666666666627,81.1,2.4000000000000057,Normal
252,Manufacturing [31-33],2011-07-01,80.0,3,80.8,75.9,85.69999999999999,-0.3265306122448974,80.8,2.4499999999999957,Normal
253,Manufacturing [31-33],2011-10-01,81.4,4,80.6,74.79999999999998,86.4,0.2758620689655206,80.6,2.9000000000000057,Normal
254,Manufacturing [31-33],2012-01-01,81.3,1,80.7,75.3,86.10000000000001,0.2222222222222198,80.7,2.700000000000003,Normal
255,Manufacturing [31-33],2012-04-01,81.6,2,81.1,76.29999999999998,85.9,0.2083333333333328,81.1,2.4000000000000057,Normal
256,Manufacturing [31-33],2012-07-01,80.6,3,80.8,75.9,85.69999999999999,-0.0816326530612257,80.8,2.4499999999999957,Normal
257,Manufacturing [31-33],2012-10-01,78.7,4,80.6,74.79999999999998,86.4,-0.6551724137930992,80.6,2.9000000000000057,Normal
258,Manufacturing [31-33],2013-01-01,79.7,1,80.7,75.3,86.10000000000001,-0.3703703703703699,80.7,2.700000000000003,Normal
259,Manufacturing [31-33],2013-04-01,79.0,2,81.1,76.29999999999998,85.9,-0.8749999999999956,81.1,2.4000000000000057,Normal
260,Manufacturing [31-33],2013-07-01,79.4,3,80.8,75.9,85.69999999999999,-0.571428571428569,80.8,2.4499999999999957,Normal
261,Manufacturing [31-33],2013-10-01,80.6,4,80.6,74.79999999999998,86.4,0.0,80.6,2.9000000000000057,Normal
262,Manufacturing [31-33],2014-01-01,80.1,1,80.7,75.3,86.10000000000001,-0.2222222222222251,80.7,2.700000000000003,Normal
263,Manufacturing [31-33],2014-04-01,81.3,2,81.1,76.29999999999998,85.9,0.0833333333333343,81.1,2.4000000000000057,Normal
264,Manufacturing [31-33],2014-07-01,82.1,3,80.8,75.9,85.69999999999999,0.530612244897959,80.8,2.4499999999999957,Normal
265,Manufacturing [31-33],2014-10-01,82.6,4,80.6,74.79999999999998,86.4,0.6896551724137917,80.6,2.9000000000000057,Normal
266,Manufacturing [31-33],2015-01-01,82.0,1,80.7,75.3,86.10000000000001,0.4814814814814799,80.7,2.700000000000003,Normal
267,Manufacturing [31-33],2015-04-01,81.5,2,81.1,76.29999999999998,85.9,0.1666666666666686,81.1,2.4000000000000057,Normal
268,Manufacturing [31-33],2015-07-01,82.3,3,80.8,75.9,85.69999999999999,0.6122448979591847,80.8,2.4499999999999957,Normal
269,Manufacturing [31-33],2015-10-01,82.3,4,80.6,74.79999999999998,86.4,0.586206896551724,80.6,2.9000000000000057,Normal
270,Manufacturing [31-33],2016-01-01,82.9,1,80.7,75.3,86.10000000000001,0.814814814814815,80.7,2.700000000000003,Normal
271,Manufacturing [31-33],2016-04-01,82.2,2,81.1,76.29999999999998,85.9,0.4583333333333358,81.1,2.4000000000000057,Normal
272,Manufacturing [31-33],2016-07-01,81.7,3,80.8,75.9,85.69999999999999,0.3673469387755131,80.8,2.4499999999999957,Normal
273,Manufacturing [31-33],2016-10-01,80.3,4,80.6,74.79999999999998,86.4,-0.1034482758620677,80.6,2.9000000000000057,Normal
274,Manufacturing [31-33],2017-01-01,78.7,1,80.7,75.3,86.10000000000001,-0.7407407407407399,80.7,2.700000000000003,Normal
275,Manufacturing [31-33],2017-04-01,77.6,2,81.1,76.29999999999998,85.9,-1.45833333333333,81.1,2.4000000000000057,Normal
276,Manufacturing [31-33],2017-07-01,78.1,3,80.8,75.9,85.69999999999999,-1.1020408163265336,80.8,2.4499999999999957,Normal
277,Manufacturing [31-33],2017-10-01,80.4,4,80.6,74.79999999999998,86.4,-0.0689655172413752,80.6,2.9000000000000057,Normal
278,Manufacturing [31-33],2018-01-01,82.1,1,80.7,75.3,86.10000000000001,0.5185185185185148,80.7,2.700000000000003,Normal
279,Manufacturing [31-33],2018-04-01,81.5,2,81.1,76.29999999999998,85.9,0.1666666666666686,81.1,2.4000000000000057,Normal
280,Manufacturing [31-33],2018-07-01,80.6,3,80.8,75.9,85.69999999999999,-0.0816326530612257,80.8,2.4499999999999957,Normal
281,Manufacturing [31-33],2018-10-01,79.6,4,80.6,74.79999999999998,86.4,-0.3448275862068958,80.6,2.9000000000000057,Normal
282,Manufacturing [31-33],2019-01-01,78.9,1,80.7,75.3,86.10000000000001,-0.666666666666665,80.7,2.700000000000003,Normal
283,Manufacturing [31-33],2019-04-01,79.6,2,81.1,76.29999999999998,85.9,-0.6249999999999986,81.1,2.4000000000000057,Normal
284,Manufacturing [31-33],2019-07-01,78.6,3,80.8,75.9,85.69999999999999,-0.8979591836734722,80.8,2.4499999999999957,Normal
285,Manufacturing [31-33],2019-10-01,78.1,4,80.6,74.79999999999998,86.4,-0.8620689655172397,80.6,2.9000000000000057,Normal
286,Manufacturing [31-33],2020-01-01,75.1,1,80.7,75.3,86.10000000000001,-2.074074074074075,80.7,2.700000000000003,Normal
287,Manufacturing [31-33],2020-04-01,63.0,2,81.1,76.29999999999998,85.9,-7.5416666666666465,81.1,2.4000000000000057,Normal
288,Manufacturing [31-33],2020-07-01,75.6,3,80.8,75.9,85.69999999999999,-2.1224489795918418,80.8,2.4499999999999957,Normal
289,Manufacturing [31-33],2020-10-01,76.9,4,80.6,74.79999999999998,86.4,-1.275862068965511,80.6,2.9000000000000057,Normal
290,Manufacturing [31-33],2021-01-01,76.6,1,80.7,75.3,86.10000000000001,-1.5185185185185202,80.7,2.700000000000003,Normal
291,Manufacturing [31-33],2021-04-01,76.2,2,81.1,76.29999999999998,85.9,-2.041666666666658,81.1,2.4000000000000057,Normal
292,Manufacturing [31-33],2021-07-01,75.5,3,80.8,75.9,85.69999999999999,-2.1632653061224514,80.8,2.4499999999999957,Normal
293,Manufacturing [31-33],2021-10-01,76.6,4,80.6,74.79999999999998,86.4,-1.3793103448275834,80.6,2.9000000000000057,Normal
294,Manufacturing [31-33],2022-01-01,77.0,1,80.7,75.3,86.10000000000001,-1.37037037037037,80.7,2.700000000000003,Normal
295,Manufacturing [31-33],2022-04-01,77.8,2,81.1,76.29999999999998,85.9,-1.3749999999999956,81.1,2.4000000000000057,Normal
296,Manufacturing [31-33],2022-07-01,77.1,3,80.8,75.9,85.69999999999999,-1.510204081632657,80.8,2.4499999999999957,Normal
297,Manufacturing [31-33],2022-10-01,77.1,4,80.6,74.79999999999998,86.4,-1.2068965517241357,80.6,2.9000000000000057,Normal
298,Manufacturing [31-33],2023-01-01,77.8,1,80.7,75.3,86.10000000000001,-1.074074074074075,80.7,2.700000000000003,Normal
299,Manufacturing [31-33],2023-04-01,77.9,2,81.1,76.29999999999998,85.9,-1.3333333333333257,81.1,2.4000000000000057,Normal
300,Manufacturing [31-33],2023-07-01,77.8,3,80.8,75.9,85.69999999999999,-1.2244897959183694,80.8,2.4499999999999957,Normal
301,Manufacturing [31-33],2023-10-01,76.9,4,80.6,74.79999999999998,86.4,-1.275862068965511,80.6,2.9000000000000057,Normal
302,Manufacturing [31-33],2024-01-01,77.2,1,80.7,75.3,86.10000000000001,-1.296296296296295,80.7,2.700000000000003,Normal
303,Manufacturing [31-33],2024-04-01,77.8,2,81.1,76.29999999999998,85.9,-1.3749999999999956,81.1,2.4000000000000057,Normal
304,Manufacturing [31-33],2024-07-01,77.9,3,80.8,75.9,85.69999999999999,-1.1836734693877538,80.8,2.4499999999999957,Normal
305,Manufacturing [31-33],2024-10-01,78.0,4,80.6,74.79999999999998,86.4,-0.8965517241379273,80.6,2.9000000000000057,Normal
306,Manufacturing [31-33],2025-01-01,77.4,1,80.7,75.3,86.10000000000001,-1.22222222222222,80.7,2.700000000000003,Normal
307,Manufacturing [31-33],2025-04-01,76.7,2,81.1,76.29999999999998,85.9,-1.8333333333333257,81.1,2.4000000000000057,Normal
